,GOOG,GOOG,GOOG,GOOG,GOOG
,open,high,low,close,volume
time,,,,,
2020-09-01 14:48:00-04:00,1662.15,1662.21,1662.15,1662.21,310
2020-09-01 14:49:00-04:00,1662.21,1662.33,1662.21,1662.33,647
2020-09-01 14:54:00-04:00,1664.49,1664.49,1664.49,1664.49,149
2020-09-01 14:55:00-04:00,1664.76,1664.76,1664.76,1664.76,110
2020-09-01 14:59:00-04:00,1664.19,1664.19,1664.19,1664.19,159
2020-09-01 15:04:00-04:00,1663.78,1663.78,1663.78,1663.78,103
2020-09-01 15:07:00-04:00,1664.515,1665.0,1664.515,1665.0,337
2020-09-01 15:08:00-04:00,1664.85,1664.88,1664.74,1664.88,412
2020-09-01 15:09:00-04:00,1664.98,1665.17,1664.98,1665.17,368
2020-09-01 15:10:00-04:00,1664.84,1664.84,1664.84,1664.84,352
2020-09-01 15:15:00-04:00,1662.5,1662.5,1662.31,1662.31,289
2020-09-01 15:16:00-04:00,1661.76,1661.76,1661.76,1661.76,204
2020-09-01 15:19:00-04:00,1661.48,1661.48,1661.48,1661.48,111
2020-09-01 15:22:00-04:00,1661.28,1661.28,1661.28,1661.28,201
2020-09-01 15:23:00-04:00,1661.03,1661.03,1661.03,1661.03,218
2020-09-01 15:27:00-04:00,1661.29,1661.29,1661.29,1661.29,261
2020-09-01 15:28:00-04:00,1661.94,1661.94,1661.94,1661.94,144
2020-09-01 15:29:00-04:00,1660.97,1660.97,1660.97,1660.97,215
2020-09-01 15:30:00-04:00,1661.14,1661.14,1660.94,1660.94,221
2020-09-01 15:31:00-04:00,1660.47,1660.47,1660.47,1660.47,213
2020-09-01 15:33:00-04:00,1658.44,1658.44,1658.44,1658.44,112
2020-09-01 15:35:00-04:00,1657.2,1658.4,1657.2,1658.4,467
2020-09-01 15:37:00-04:00,1659.915,1659.915,1659.915,1659.915,124
2020-09-01 15:40:00-04:00,1659.74,1659.74,1659.74,1659.74,100
2020-09-01 15:44:00-04:00,1662.16,1662.17,1662.16,1662.17,304
2020-09-01 15:45:00-04:00,1660.82,1660.82,1660.82,1660.82,120
2020-09-01 15:47:00-04:00,1661.07,1661.07,1660.18,1660.28,326
2020-09-01 15:48:00-04:00,1659.225,1660.72,1659.02,1660.72,638
2020-09-01 15:49:00-04:00,1658.52,1658.52,1658.52,1658.52,240
2020-09-01 15:50:00-04:00,1656.86,1656.86,1655.84,1655.84,222
2020-09-01 15:51:00-04:00,1655.81,1655.81,1655.56,1655.56,210
2020-09-01 15:52:00-04:00,1654.56,1655.41,1654.56,1655.31,525
2020-09-01 15:53:00-04:00,1655.29,1655.29,1654.94,1654.94,381
2020-09-01 15:54:00-04:00,1655.0,1655.0,1654.09,1654.09,954
2020-09-01 15:55:00-04:00,1654.08,1655.27,1653.99,1655.27,692
2020-09-01 15:56:00-04:00,1654.83,1656.87,1654.83,1656.67,703
2020-09-01 15:57:00-04:00,1657.85,1658.01,1657.85,1658.01,372
2020-09-01 15:58:00-04:00,1658.35,1659.58,1658.35,1659.58,537
2020-09-01 15:59:00-04:00,1660.97,1661.97,1660.28,1661.97,1724
2020-09-02 09:30:00-04:00,1673.5,1673.5,1671.0,1672.94,603
2020-09-02 09:31:00-04:00,1673.82,1673.82,1672.38,1672.38,423
2020-09-02 09:32:00-04:00,1679.99,1679.99,1679.99,1679.99,130
2020-09-02 09:33:00-04:00,1678.81,1678.81,1677.3,1677.48,387
2020-09-02 09:34:00-04:00,1678.44,1678.44,1677.05,1677.05,436
2020-09-02 09:37:00-04:00,1677.68,1677.68,1677.68,1677.68,224
2020-09-02 09:39:00-04:00,1674.765,1674.765,1674.765,1674.765,241
2020-09-02 09:40:00-04:00,1676.9,1676.97,1676.23,1676.23,621
2020-09-02 09:41:00-04:00,1674.25,1676.84,1674.25,1676.84,974
2020-09-02 09:42:00-04:00,1676.255,1676.4,1676.255,1676.4,259
2020-09-02 09:44:00-04:00,1679.38,1679.38,1679.38,1679.38,150
2020-09-02 09:45:00-04:00,1678.99,1678.99,1678.43,1678.43,297
2020-09-02 09:46:00-04:00,1681.595,1682.52,1681.595,1682.52,342
2020-09-02 09:47:00-04:00,1683.735,1683.735,1683.735,1683.735,221
2020-09-02 09:48:00-04:00,1683.59,1683.59,1683.59,1683.59,139
2020-09-02 09:49:00-04:00,1683.34,1683.34,1683.34,1683.34,168
2020-09-02 09:51:00-04:00,1681.21,1682.21,1681.21,1682.21,221
2020-09-02 09:52:00-04:00,1680.35,1681.64,1679.83,1681.64,404
2020-09-02 09:53:00-04:00,1682.365,1682.365,1680.24,1680.74,1012
2020-09-02 09:54:00-04:00,1679.94,1680.205,1679.94,1680.205,208
2020-09-02 09:55:00-04:00,1680.5,1680.5,1680.5,1680.5,215
2020-09-02 09:56:00-04:00,1680.29,1680.29,1679.93,1679.93,437
2020-09-02 09:57:00-04:00,1676.94,1676.94,1675.1,1675.1,308
2020-09-02 09:58:00-04:00,1676.5,1676.5,1674.0,1675.8,659
2020-09-02 09:59:00-04:00,1673.54,1673.54,1670.12,1670.12,540
2020-09-02 10:00:00-04:00,1673.06,1673.06,1673.06,1673.06,367
2020-09-02 10:01:00-04:00,1673.73,1673.73,1672.82,1673.18,557
2020-09-02 10:02:00-04:00,1673.4,1673.4,1673.4,1673.4,141
2020-09-02 10:03:00-04:00,1672.49,1672.49,1672.13,1672.13,381
2020-09-02 10:04:00-04:00,1672.83,1672.85,1672.75,1672.85,408
2020-09-02 10:05:00-04:00,1673.16,1673.16,1673.16,1673.16,515
2020-09-02 10:06:00-04:00,1676.13,1676.9,1673.19,1673.19,1212
2020-09-02 10:08:00-04:00,1671.56,1671.56,1671.56,1671.56,231
2020-09-02 10:09:00-04:00,1674.8,1674.8,1674.8,1674.8,171
2020-09-02 10:10:00-04:00,1673.94,1673.94,1673.3,1673.3,427
2020-09-02 10:11:00-04:00,1675.7,1675.7,1675.7,1675.7,207
2020-09-02 10:12:00-04:00,1675.46,1675.46,1675.035,1675.035,841
2020-09-02 10:14:00-04:00,1676.28,1676.79,1676.28,1676.79,243
2020-09-02 10:15:00-04:00,1677.44,1677.44,1675.21,1675.21,877
2020-09-02 10:17:00-04:00,1678.16,1678.16,1678.16,1678.16,166
2020-09-02 10:18:00-04:00,1678.45,1678.45,1678.45,1678.45,247
