,GOOG,GOOG,GOOG,GOOG,GOOG
,open,high,low,close,volume
time,,,,,
2019-08-13 00:00:00-04:00,1171.46,1204.78,1171.46,1197.26,1105268
2019-08-14 00:00:00-04:00,1176.31,1182.3,1160.54,1164.6,1324426
2019-08-15 00:00:00-04:00,1163.5,1175.84,1162.13,1167.57,1095792
2019-08-16 00:00:00-04:00,1179.55,1182.72,1171.81,1177.6,1196508
2019-08-19 00:00:00-04:00,1190.86,1206.99,1190.09,1198.53,1000068
2019-08-20 00:00:00-04:00,1195.25,1196.06,1182.11,1183.26,676652
2019-08-21 00:00:00-04:00,1193.5,1199.0,1187.43,1191.06,633209
2019-08-22 00:00:00-04:00,1194.07,1198.0115,1178.58,1189.69,771263
2019-08-23 00:00:00-04:00,1182.6,1194.08,1147.75,1151.35,1370917
2019-08-26 00:00:00-04:00,1159.41,1169.47,1152.96,1169.47,1024061
2019-08-27 00:00:00-04:00,1180.53,1182.4,1161.45,1168.27,880985
2019-08-28 00:00:00-04:00,1161.71,1176.4199,1157.3,1171.36,616154
2019-08-29 00:00:00-04:00,1181.12,1196.06,1181.12,1193.04,968176
2019-08-30 00:00:00-04:00,1198.5,1198.5,1183.8026,1188.11,839571
2019-09-03 00:00:00-04:00,1177.28,1186.89,1163.2,1168.06,1295169
2019-09-04 00:00:00-04:00,1176.71,1183.48,1171.0,1180.92,954217
2019-09-05 00:00:00-04:00,1191.53,1213.04,1191.53,1211.23,1256516
2019-09-06 00:00:00-04:00,1208.13,1212.015,1202.5222,1204.93,903132
2019-09-09 00:00:00-04:00,1204.97,1220.0,1192.62,1204.92,1322116
2019-09-10 00:00:00-04:00,1195.15,1210.0,1194.58,1207.23,1120028
2019-09-11 00:00:00-04:00,1203.41,1222.6,1202.2,1220.17,1132510
2019-09-12 00:00:00-04:00,1224.3,1241.86,1223.02,1234.0,1512550
2019-09-13 00:00:00-04:00,1231.35,1240.88,1227.01,1239.51,1116553
2019-09-16 00:00:00-04:00,1229.52,1239.56,1225.61,1231.34,929233
2019-09-17 00:00:00-04:00,1230.4,1235.0,1223.69,1229.16,791366
2019-09-18 00:00:00-04:00,1227.07,1235.61,1216.53,1233.1,907409
2019-09-19 00:00:00-04:00,1232.06,1244.44,1232.02,1237.9,887345
2019-09-20 00:00:00-04:00,1233.12,1243.32,1223.08,1229.68,1879399
2019-09-23 00:00:00-04:00,1226.0,1239.09,1224.17,1234.09,904177
2019-09-24 00:00:00-04:00,1240.0,1246.74,1210.68,1218.76,1338427
2019-09-25 00:00:00-04:00,1216.455,1248.3,1210.09,1246.99,1277716
2019-09-26 00:00:00-04:00,1241.96,1245.0,1232.268,1242.0,1318621
2019-09-27 00:00:00-04:00,1243.0,1244.02,1214.45,1225.3,1144467
2019-09-30 00:00:00-04:00,1220.97,1226.0,1212.3,1218.63,1182049
2019-10-01 00:00:00-04:00,1219.0,1231.23,1203.58,1205.4,1089275
2019-10-02 00:00:00-04:00,1196.89,1196.99,1171.29,1176.63,1341265
2019-10-03 00:00:00-04:00,1180.0,1189.06,1162.43,1187.31,1475271
2019-10-04 00:00:00-04:00,1191.89,1211.44,1189.17,1208.92,1982514
2019-10-07 00:00:00-04:00,1204.4,1218.2036,1203.75,1207.25,1502159
2019-10-08 00:00:00-04:00,1197.59,1206.08,1189.01,1189.24,1798793
